2025-04-07 13:33:06,475 - INFO - Env 10, Goal (-28.2, 023.2), Episode 00005, setp 1110, Reward 10.1 , Reach Goal,
2025-04-07 13:33:19,273 - INFO - Env 20, Goal (002.3, -05.6), Episode 00008, setp 456, Reward 9.7  , Reach Goal,
2025-04-07 13:33:19,273 - INFO - Env 03, Goal (009.4, -35.0), Episode 00006, setp 335, Reward -137.1, Crashed,
2025-04-07 13:33:19,273 - INFO - Env 23, Goal (006.8, 024.1), Episode 00008, setp 445, Reward 10.6 , Reach Goal,
2025-04-07 13:33:19,273 - INFO - Env 05, Goal (000.1, -21.5), Episode 00006, setp 514, Reward 9.1  , Reach Goal,
2025-04-07 13:33:19,273 - INFO - Env 04, Goal (-19.1, 006.1), Episode 00006, setp 701, Reward 8.8  , Reach Goal,
2025-04-07 13:33:19,273 - INFO - Env 02, Goal (019.3, 008.7), Episode 00006, setp 518, Reward 10.7 , Reach Goal,
2025-04-07 13:33:19,273 - INFO - Env 01, Goal (023.2, 016.6), Episode 00006, setp 686, Reward 9.2  , Reach Goal,
2025-04-07 13:33:19,273 - INFO - Env 22, Goal (-35.0, 009.0), Episode 00008, setp 202, Reward 8.0  , Reach Goal,
2025-04-07 13:33:19,273 - INFO - Env 19, Goal (-30.4, 030.5), Episode 00008, setp 036, Reward 10.3 , Reach Goal,
2025-04-07 13:33:19,274 - INFO - Env 21, Goal (031.9, -27.6), Episode 00008, setp 726, Reward -34.8, Crashed,
2025-04-07 13:33:26,971 - INFO - Env 08, Goal (002.2, 017.8), Episode 00005, setp 258, Reward -62.7, Crashed,
2025-04-07 13:33:26,971 - INFO - Env 06, Goal (011.7, 004.7), Episode 00005, setp 096, Reward 8.5  , Reach Goal,
2025-04-07 13:33:26,971 - INFO - Env 09, Goal (-22.7, 023.4), Episode 00005, setp 331, Reward 8.1  , Reach Goal,
2025-04-07 13:33:26,971 - INFO - Env 07, Goal (-34.9, 029.6), Episode 00005, setp 1276, Reward 7.2  , Reach Goal,
2025-04-07 13:34:22,689 - INFO - Env 16, Goal (030.2, 027.9), Episode 00008, setp 515, Reward 8.2  , Reach Goal,
2025-04-07 13:34:22,689 - INFO - Env 17, Goal (-19.2, -08.9), Episode 00008, setp 457, Reward 9.4  , Reach Goal,
2025-04-07 13:34:22,689 - INFO - Env 18, Goal (018.7, -33.9), Episode 00008, setp 953, Reward 10.7 , Reach Goal,
2025-04-07 13:34:22,689 - INFO - Env 15, Goal (-06.6, -03.7), Episode 00008, setp 646, Reward 8.5  , Reach Goal,
2025-04-07 13:34:32,883 - INFO - Env 04, Goal (-19.1, 006.1), Episode 00007, setp 687, Reward -22.5, Crashed,
2025-04-07 13:34:32,883 - INFO - Env 05, Goal (000.1, -21.5), Episode 00007, setp 526, Reward 9.3  , Reach Goal,
2025-04-07 13:34:32,883 - INFO - Env 03, Goal (009.4, -35.0), Episode 00007, setp 138, Reward -168.9, Crashed,
2025-04-07 13:34:32,883 - INFO - Env 01, Goal (023.2, 016.6), Episode 00007, setp 136, Reward -100.0, Crashed,
2025-04-07 13:34:32,883 - INFO - Env 02, Goal (019.3, 008.7), Episode 00007, setp 344, Reward 8.2  , Reach Goal,
2025-04-07 13:34:32,985 - INFO - Env 14, Goal (-09.3, 032.2), Episode 00006, setp 171, Reward 10.5 , Reach Goal,
2025-04-07 13:34:32,985 - INFO - Env 13, Goal (-03.3, 016.9), Episode 00006, setp 493, Reward 10.4 , Reach Goal,
2025-04-07 13:34:32,985 - INFO - Env 11, Goal (-12.0, -22.7), Episode 00006, setp 129, Reward 9.9  , Reach Goal,
2025-04-07 13:34:32,985 - INFO - Env 12, Goal (006.7, 019.0), Episode 00006, setp 316, Reward 8.4  , Reach Goal,
2025-04-07 13:34:32,985 - INFO - Env 10, Goal (-28.2, 023.2), Episode 00006, setp 811, Reward -75.2, Crashed,
